latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-17.60475,-43.03915,302.1,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,284.6,1.1,N
-17.60245,-43.05246,303.5,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.6,34.7,N
-17.60168,-43.05692,323.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,284,34.7,N
-17.8989,-41.27327,311.2,0.41,0.37,2019-10-20,03:48,N,nominal,1.0NRT,288.8,1.2,N
-17.59721,-43.06071,303,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288,2.5,N
-17.59955,-43.04718,339,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288.8,18.2,N
-17.59878,-43.05164,348.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,298.2,34.7,N
-17.598,-43.05615,330,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,298.3,34.7,N
-17.66769,-42.62879,298.1,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,283.9,1.6,N
-17.59742,-43.03751,326.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288.3,2.8,N
-17.59665,-43.04191,335.3,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.3,36.2,N
-17.59589,-43.04633,330.3,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,311,36.2,N
-17.59511,-43.05085,339.2,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,318.8,50.8,N
-17.59432,-43.05542,345.7,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,296.4,50.8,N
-17.59374,-43.03678,304.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.7,2.8,N
-17.59062,-43.05473,307.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288.1,50.8,N
-17.59297,-43.04118,342.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,301,36.2,N
-17.59221,-43.0456,341.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.3,36.2,N
-17.59142,-43.05014,346.5,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,295.7,50.8,N
-17.58693,-43.05405,303.3,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.8,5.5,N
-17.58928,-43.04049,323.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,286.9,1.7,N
-17.58852,-43.0449,322.8,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,284.6,1.7,N
-17.58773,-43.04944,350.1,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.6,5.5,N
-17.5856,-43.03978,308.1,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,286.2,1.7,N
-17.58482,-43.04424,311.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,285.3,1.7,N
-17.58323,-43.05341,301.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.2,5.5,N
-17.58403,-43.04879,336,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,289.4,5.5,N
-17.57457,-43.10324,328.9,0.49,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.1,4.5,N
-17.58113,-43.04357,310.2,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,283.7,1.6,N
-17.58033,-43.04816,308.6,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,283.5,1.5,N
-17.66361,-42.26541,314.9,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,285,1.6,N
-18.04191,-39.92465,304.5,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,290.8,1.1,N
-17.73503,-41.78519,300.6,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,282.7,1,N
-17.70654,-41.80486,301.8,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,285.8,1.7,N
-17.70585,-41.8089,326,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,286.4,1.7,N
-17.70554,-41.80519,307.3,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,286,1.5,N
-17.70487,-41.80924,324,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,286.4,1.5,N
-17.93837,-40.27894,321.7,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,289.4,2.4,N
-17.93443,-40.28202,303.2,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,289.2,20.3,N
-17.93503,-40.27834,356.2,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,293.4,13.4,N
-17.93168,-40.27775,328.9,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,290.2,13.4,N
-17.93109,-40.28143,336.8,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,296.4,20.3,N
-17.92775,-40.28084,304.4,0.39,0.36,2019-10-20,03:48,N,nominal,1.0NRT,288.9,0.6,N
-17.67201,-41.66359,301.5,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.5,0.8,N
-16.6195,-47.39997,304,0.61,0.53,2019-10-20,03:48,N,nominal,1.0NRT,276.5,3.8,N
-17.66989,-41.65499,308.6,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,285.7,1.1,N
-17.66922,-41.65895,305.5,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,285.3,0.8,N
-17.69311,-41.49602,299.4,0.42,0.37,2019-10-20,03:48,N,nominal,1.0NRT,275.5,1.8,N
-17.5696,-42.17986,300.4,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,280.6,0.5,N
-17.56534,-42.1834,301.5,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,281.5,1.4,N
-17.55826,-42.13976,300.2,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,282.7,1,N
-17.55472,-42.13913,300,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,283.2,0.7,N
-17.55117,-42.13856,299.7,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,282.6,0.7,N
-17.52553,-42.20209,311.6,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,280,1.4,N
-17.52657,-42.2041,312.9,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,279.1,0.9,N
-17.60197,-41.62722,302.5,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,288.4,0.6,N
-17.54486,-41.85995,307.4,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.2,1.8,N
